Team,ID,Name,Game,Role,Skill,PersonalityType
2,P052,Participant_52,FIFA,Attacker,2,Leader
2,P095,Participant_95,CS:GO,Coordinator,2,Balanced
2,P034,Participant_34,FIFA,Supporter,7,Leader
2,P062,Participant_62,Basketball,Attacker,6,Balanced
2,P043,Participant_43,DOTA 2,Defender,2,Leader
2,P059,Participant_59,DOTA 2,Supporter,4,Balanced
2,P085,Participant_85,Basketball,Coordinator,10,Leader
2,P071,Participant_71,Chess,Strategist,8,Balanced
2,P075,Participant_75,Valorant,Coordinator,8,Thinker
2,P068,Participant_68,Chess,Defender,1,Balanced
2,P020,Participant_20,Valorant,Coordinator,3,Balanced
2,P099,Participant_99,Valorant,Supporter,3,Thinker
2,P028,Participant_28,CS:GO,Defender,8,Leader
2,P073,Participant_73,DOTA 2,Defender,8,Leader
2,P096,Participant_96,DOTA 2,Strategist,8,Thinker
2,P022,Participant_22,Chess,Attacker,9,Leader
2,P066,Participant_66,Chess,Strategist,1,Thinker
2,P047,Participant_47,DOTA 2,Attacker,10,Balanced
2,P021,Participant_21,FIFA,Strategist,4,Thinker
2,P086,Participant_86,FIFA,Strategist,9,Balanced
2,P031,Participant_31,Basketball,Strategist,8,Leader
2,P091,Participant_91,FIFA,Strategist,10,Leader
2,P076,Participant_76,FIFA,Strategist,7,Leader
2,P017,Participant_17,CS:GO,Attacker,10,Balanced
2,P074,Participant_74,FIFA,Supporter,3,Balanced
2,P070,Participant_70,Basketball,Coordinator,1,Leader
2,P053,Participant_53,DOTA 2,Defender,7,Balanced
2,P058,Participant_58,Valorant,Defender,3,Leader
2,P033,Participant_33,FIFA,Defender,7,Thinker
2,P097,Participant_97,FIFA,Attacker,3,Leader
2,P037,Participant_37,DOTA 2,Attacker,8,Leader
2,P002,Participant_2,FIFA,Attacker,5,Balanced
2,P025,Participant_25,FIFA,Coordinator,9,Leader
2,P014,Participant_14,FIFA,Supporter,3,Balanced
2,P048,Participant_48,Valorant,Defender,6,Thinker
2,P003,Participant_3,FIFA,Defender,4,Thinker
2,P010,Participant_10,Valorant,Coordinator,5,Leader
2,P012,Participant_12,DOTA 2,Attacker,3,Thinker
2,P065,Participant_65,DOTA 2,Coordinator,7,Balanced
2,P044,Participant_44,FIFA,Supporter,6,Balanced
2,P008,Participant_8,Valorant,Defender,10,Balanced
2,P045,Participant_45,Chess,Coordinator,2,Thinker
2,P009,Participant_9,CS:GO,Supporter,6,Thinker
2,P077,Participant_77,FIFA,Attacker,2,Balanced
2,P049,Participant_49,Basketball,Supporter,3,Leader
2,P072,Participant_72,DOTA 2,Attacker,5,Thinker
2,P038,Participant_38,Valorant,Defender,1,Balanced
2,P093,Participant_93,CS:GO,Defender,4,Thinker
